Date,Stock_Market_Indexes
7/21/2020,10680.363
7/22/2020,10706.129
7/23/2020,10461.418
7/24/2020,10363.176
7/27/2020,10536.266
7/28/2020,10402.09
7/29/2020,10542.941
7/30/2020,10587.813
7/31/2020,10745.273
8/3/2020,10902.797
8/4/2020,10941.164
8/5/2020,10998.398
8/6/2020,11108.07
8/7/2020,11010.984
8/10/2020,10968.355
8/11/2020,10782.824
8/12/2020,11012.238
8/13/2020,11042.504
8/14/2020,11019.301
8/17/2020,11129.727
8/18/2020,11210.844
8/19/2020,11146.461
8/20/2020,11264.953
8/21/2020,11311.801
8/24/2020,11379.719
8/25/2020,11466.473
8/26/2020,11665.059
8/27/2020,11625.336
8/28/2020,11695.633
8/31/2020,11775.457
9/1/2020,11939.668
9/2/2020,12056.441
9/3/2020,11458.102
9/4/2020,11313.133
9/7/2020,.
9/8/2020,10847.691
9/9/2020,11141.563
9/10/2020,10919.594
9/11/2020,10853.547
9/14/2020,11056.652
9/15/2020,11190.324
9/16/2020,11050.469
9/17/2020,10910.277
9/18/2020,10793.281
9/21/2020,10778.797
9/22/2020,10963.637
9/23/2020,10632.984
9/24/2020,10672.266
9/25/2020,10913.563
9/28/2020,11117.523
9/29/2020,11085.25
9/30/2020,11167.508
10/1/2020,11326.508
10/2/2020,11075.016
10/5/2020,11332.484
10/6/2020,11154.605
10/7/2020,11364.598
10/8/2020,11420.98
10/9/2020,11579.945
10/12/2020,11876.258
10/13/2020,11863.895
10/14/2020,11768.73
10/15/2020,11713.871
10/16/2020,11671.555
10/19/2020,11478.883
10/20/2020,11516.496
10/21/2020,11484.695
10/22/2020,11506.004
10/23/2020,11548.281
10/26/2020,11358.938
10/27/2020,11431.352
10/28/2020,11004.867
10/29/2020,11185.594
10/30/2020,10911.59
11/2/2020,10957.613
11/3/2020,11160.574
11/4/2020,11590.781
11/5/2020,11890.926
11/6/2020,11895.23
11/9/2020,11713.781
11/10/2020,11553.855
11/11/2020,11786.43
11/12/2020,11709.59
11/13/2020,11829.28613
11/16/2020,11924.13
11/17/2020,11899.34
11/18/2020,11801.6
11/19/2020,11904.71
11/20/2020,11854.97
11/23/2020,11880.63
11/24/2020,12036.79
11/25/2020,12094.4
11/26/2020,.
11/27/2020,12205.85
11/30/2020,12198.74
12/1/2020,12355.11
12/2/2020,12349.37
12/3/2020,12377.18
12/4/2020,12464.23
12/7/2020,12519.95
12/8/2020,12582.77
12/9/2020,12338.95
12/10/2020,12405.81
12/11/2020,12377.87
12/14/2020,12440.04
12/15/2020,12595.06
12/16/2020,12658.19
12/17/2020,12764.75
12/18/2020,12755.64
12/21/2020,12742.52
12/22/2020,12807.92
12/23/2020,12771.11
12/24/2020,12804.73
12/25/2020,.
12/28/2020,12899.42
12/29/2020,12850.22
12/30/2020,12870
12/31/2020,12888.28
1/1/2021,.
1/4/2021,12698.45
1/5/2021,12818.96
1/6/2021,12740.79
1/7/2021,13067.48
1/8/2021,13201.98
1/11/2021,13036.43
1/12/2021,13072.43
1/13/2021,13128.95
1/14/2021,13112.64
1/15/2021,12998.5
1/18/2021,.
1/19/2021,13197.18
1/20/2021,13457.25
1/21/2021,13530.91
1/22/2021,13543.06
1/25/2021,13635.99
1/26/2021,13626.06
1/27/2021,13270.6
1/28/2021,13337.16
1/29/2021,13070.69
2/1/2021,13403.39
2/2/2021,13612.78
2/3/2021,13610.54
2/4/2021,13777.74
2/5/2021,13856.3
2/8/2021,13987.64
2/9/2021,14007.7
2/10/2021,13972.53
2/11/2021,14025.77
2/12/2021,14095.47
2/15/2021,.
2/16/2021,14047.5
2/17/2021,13965.49
2/18/2021,13865.36
2/19/2021,13874.46
2/22/2021,13533.05
2/23/2021,13465.2
2/24/2021,13597.97
2/25/2021,13119.43
2/26/2021,13192.35
3/1/2021,13588.83
3/2/2021,13358.79
3/3/2021,12997.75
3/4/2021,12723.47
3/5/2021,12920.15
3/8/2021,12609.16
3/9/2021,13073.82
3/10/2021,13068.83
3/11/2021,13398.67
3/12/2021,13319.86
3/15/2021,13459.71
3/16/2021,13471.57
3/17/2021,13525.2
3/18/2021,13116.17
3/19/2021,13215.24
3/22/2021,13377.54
3/23/2021,13227.7
3/24/2021,12961.89
3/25/2021,12977.68
3/26/2021,13138.72
3/29/2021,13059.65
3/30/2021,13045.39
3/31/2021,13246.87
4/1/2021,13480.11
4/2/2021,.
4/5/2021,13705.59
4/6/2021,13698.38
4/7/2021,13688.84
4/8/2021,13829.31
4/9/2021,13900.19
4/12/2021,13850
4/13/2021,13996.1
4/14/2021,13857.84
4/15/2021,14038.76
4/16/2021,14052.34
